         3705887 function calls (3631411 primitive calls) in 20.624 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.002    0.000 mathtext.py:2606(_make_space)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
        1    0.002    0.002    0.002    0.002 backend_agg.py:85(__init__)
      100    0.002    0.000    0.002    0.000 transforms.py:1605(_set)
        1    0.000    0.000    0.002    0.002 backend_agg.py:21(<module>)
      250    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.002    0.000 transforms.py:993(_set_intervaly)
    20/11    0.000    0.000    0.002    0.000 pyparsing.py:2425(leaveWhitespace)
     2602    0.002    0.000    0.002    0.000 font_manager.py:907(set_file)
       50    0.001    0.000    0.002    0.000 mathtext.py:1664(hpack)
       49    0.000    0.000    0.002    0.000 pyparsing.py:1428(__or__)
       10    0.000    0.000    0.002    0.000 colorbar.py:616(<listcomp>)
       32    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       74    0.001    0.000    0.002    0.000 mathtext.py:233(get_hinting_type)
      136    0.001    0.000    0.002    0.000 pyparsing.py:2784(__init__)
       30    0.000    0.000    0.002    0.000 figure.py:1371(sca)
        1    0.000    0.000    0.002    0.002 version.py:93(StrictVersion)
      649    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:402(parent)
        1    0.000    0.000    0.002    0.002 texmanager.py:89(TexManager)
        1    0.000    0.000    0.002    0.002 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
       32    0.000    0.000    0.002    0.000 cm.py:34(revcmap)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
       50    0.002    0.000    0.002    0.000 {method 'ptp' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
      114    0.000    0.000    0.002    0.000 sre_parse.py:829(fix_flags)
      156    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
      380    0.001    0.000    0.002    0.000 transforms.py:2249(get_matrix)
       80    0.000    0.000    0.002    0.000 transforms.py:2460(get_matrix)
      270    0.001    0.000    0.002    0.000 transforms.py:367(_get_intervalx)
       80    0.001    0.000    0.002    0.000 _base.py:168(set_prop_cycle)
      100    0.001    0.000    0.002    0.000 ticker.py:191(_divmod)
   105/91    0.000    0.000    0.002    0.000 pyparsing.py:2561(__str__)
       20    0.000    0.000    0.002    0.000 {method 'view' of 'numpy.generic' objects}
      538    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1475    0.001    0.000    0.002    0.000 artist.py:1183(is_alias)
     4100    0.002    0.000    0.002    0.000 artist.py:930(sticky_edges)
       24    0.000    0.000    0.002    0.000 core.py:177(iter_style_files)
    14/10    0.000    0.000    0.002    0.000 __init__.py:335(wrapper)
       10    0.000    0.000    0.002    0.000 colorbar.py:464(_outline)
       40    0.000    0.000    0.002    0.000 transforms.py:2090(__init__)
       50    0.000    0.000    0.002    0.000 ticker.py:1535(le)
     2930    0.002    0.000    0.002    0.000 artist.py:730(get_visible)
       10    0.000    0.000    0.002    0.000 core.py:5562(max)
        1    0.000    0.000    0.002    0.002 patches.py:1916(BoxStyle)
      642    0.002    0.000    0.002    0.000 backend_bases.py:1049(set_linewidth)
      483    0.002    0.000    0.002    0.000 cbook.py:479(__init__)
    30/20    0.000    0.000    0.002    0.000 pyparsing.py:2502(<listcomp>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
       97    0.001    0.000    0.002    0.000 functools.py:44(update_wrapper)
       49    0.000    0.000    0.002    0.000 pyparsing.py:2646(__init__)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
       39    0.000    0.000    0.002    0.000 inspect.py:2761(replace)
      442    0.001    0.000    0.002    0.000 lines.py:542(get_fillstyle)
       30    0.000    0.000    0.002    0.000 figure.py:104(bubble)
      130    0.000    0.000    0.002    0.000 artist.py:657(set_clip_box)
       18    0.000    0.000    0.002    0.000 tokenize.py:448(open)
     3296    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
      328    0.001    0.000    0.002    0.000 enum.py:351(__setattr__)
      120    0.000    0.000    0.002    0.000 core.py:1626(make_mask_none)
       20    0.000    0.000    0.002    0.000 __init__.py:70(process_projection_requirements)
      490    0.002    0.000    0.002    0.000 ticker.py:516(set_useOffset)
       54    0.000    0.000    0.002    0.000 pyplot.py:2505(<lambda>)
        1    0.001    0.001    0.002    0.002 pyplot.py:1882(get_plot_commands)
       20    0.000    0.000    0.002    0.000 colorbar.py:449(_set_label)
     1044    0.002    0.000    0.002    0.000 text.py:1267(get_usetex)
        1    0.000    0.000    0.002    0.002 ipaddress.py:2264(_IPv6Constants)
        4    0.000    0.000    0.002    0.000 __init__.py:228(_is_writable_dir)
      442    0.001    0.000    0.002    0.000 transforms.py:2743(get_affine)
       80    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.get_path_extents}
     2152    0.001    0.000    0.001    0.000 pyparsing.py:372(__bool__)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
      332    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
      493    0.001    0.000    0.001    0.000 function_base.py:212(iterable)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2158(__init__)
       20    0.000    0.000    0.001    0.000 figure.py:817(delaxes)
       63    0.001    0.000    0.001    0.000 cm.py:46(<listcomp>)
       72    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      100    0.001    0.000    0.001    0.000 axis.py:1958(get_view_interval)
      376    0.001    0.000    0.001    0.000 cycler.py:225(__iter__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
     1051    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       20    0.000    0.000    0.001    0.000 figure.py:111(add)
      269    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       10    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
     2218    0.001    0.000    0.001    0.000 path.py:273(should_simplify)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
     1798    0.001    0.000    0.001    0.000 traceback.py:286(walk_stack)
     4818    0.001    0.000    0.001    0.000 pyparsing.py:1036(postParse)
       50    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
      173    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
       20    0.000    0.000    0.001    0.000 _axes.py:231(set_ylabel)
       20    0.000    0.000    0.001    0.000 transforms.py:820(null)
     1136    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1743    0.001    0.000    0.001    0.000 traceback.py:239(__init__)
       20    0.000    0.000    0.001    0.000 pyparsing.py:2429(<listcomp>)
     1329    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      200    0.001    0.000    0.001    0.000 transforms.py:1739(_get_is_separable)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
       80    0.000    0.000    0.001    0.000 transforms.py:1770(transform_point)
       97    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.copyto}
       20    0.000    0.000    0.001    0.000 figure.py:775(set_facecolor)
       80    0.000    0.000    0.001    0.000 artist.py:831(set_visible)
     2188    0.001    0.000    0.001    0.000 text.py:917(get_text)
        1    0.000    0.000    0.001    0.001 markers.py:84(<module>)
        1    0.000    0.000    0.001    0.001 csv.py:4(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:660(_get_configdir)
       20    0.000    0.000    0.001    0.000 collections.py:627(set_antialiased)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
      120    0.001    0.000    0.001    0.000 axis.py:2294(get_view_interval)
      538    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       40    0.000    0.000    0.001    0.000 cbook.py:2554(safe_first_element)
      233    0.001    0.000    0.001    0.000 codecs.py:318(decode)
       50    0.001    0.000    0.001    0.000 ticker.py:1608(scale_range)
       50    0.001    0.000    0.001    0.000 ticker.py:690(_set_orderOfMagnitude)
       24    0.000    0.000    0.001    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
       40    0.000    0.000    0.001    0.000 transforms.py:1562(_init)
       31    0.000    0.000    0.001    0.000 figure.py:163(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1558(_IPv4Constants)
      260    0.001    0.000    0.001    0.000 transforms.py:374(_get_intervaly)
       50    0.000    0.000    0.001    0.000 fontconfig_pattern.py:147(_value)
     1354    0.001    0.000    0.001    0.000 sre_parse.py:159(__len__)
       10    0.000    0.000    0.001    0.000 enum.py:837(_decompose)
       10    0.000    0.000    0.001    0.000 mathtext.py:2590(math)
        1    0.000    0.000    0.001    0.001 __init__.py:781(matplotlib_fname)
       20    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.001    0.001 colors.py:644(_init)
       50    0.000    0.000    0.001    0.000 _methods.py:31(_sum)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
      464    0.001    0.000    0.001    0.000 pyparsing.py:2345(parseImpl)
     6198    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       70    0.000    0.000    0.001    0.000 ticker.py:603(get_offset)
        2    0.000    0.000    0.001    0.001 __init__.py:685(_get_cachedir)
      891    0.001    0.000    0.001    0.000 cbook.py:546(process)
        1    0.000    0.000    0.001    0.001 rrule.py:7(<module>)
       30    0.000    0.000    0.001    0.000 cm.py:183(__init__)
      136    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.arange}
        1    0.000    0.000    0.001    0.001 scale.py:1(<module>)
      152    0.000    0.000    0.001    0.000 core.py:599(filled)
      126    0.000    0.000    0.001    0.000 pyparsing.py:1697(__init__)
       19    0.000    0.000    0.001    0.000 ipaddress.py:1459(__init__)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:105(MarkerStyle)
       10    0.000    0.000    0.001    0.000 axis.py:2298(set_view_interval)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
      982    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:838(__exit__)
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6369(__init__)
        4    0.000    0.000    0.001    0.000 colors.py:344(makeMappingArray)
       80    0.001    0.000    0.001    0.000 pyplot.py:579(gcf)
       80    0.001    0.000    0.001    0.000 linalg.py:139(_commonType)
        4    0.000    0.000    0.001    0.000 tempfile.py:571(TemporaryFile)
       10    0.000    0.000    0.001    0.000 mathtext.py:2582(main)
       70    0.001    0.000    0.001    0.000 {method 'draw_glyph_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       30    0.000    0.000    0.001    0.000 cbook.py:1373(bubble)
     1265    0.001    0.000    0.001    0.000 colors.py:203(<genexpr>)
       56    0.000    0.000    0.001    0.000 pyparsing.py:3183(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      140    0.001    0.000    0.001    0.000 numerictypes.py:728(issubdtype)
       20    0.001    0.000    0.001    0.000 _base.py:2285(<listcomp>)
      311    0.000    0.000    0.001    0.000 pyparsing.py:2566(<genexpr>)
       40    0.001    0.000    0.001    0.000 _base.py:1334(set_anchor)
     1856    0.001    0.000    0.001    0.000 path.py:235(codes)
       26    0.000    0.000    0.001    0.000 core.py:6374(getdoc)
     1218    0.001    0.000    0.001    0.000 figure.py:411(_get_dpi)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       20    0.000    0.000    0.001    0.000 figure.py:824(_make_key)
        1    0.000    0.000    0.001    0.001 patches.py:2664(ConnectionStyle)
        1    0.000    0.000    0.001    0.001 model.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
      460    0.001    0.000    0.001    0.000 image.py:130(<genexpr>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       20    0.000    0.000    0.001    0.000 figure.py:100(remove)
      982    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:834(__enter__)
      120    0.001    0.000    0.001    0.000 scale.py:527(scale_factory)
       30    0.000    0.000    0.001    0.000 _base.py:1254(set_aspect)
       80    0.001    0.000    0.001    0.000 cbook.py:1348(push)
       21    0.000    0.000    0.001    0.000 transforms.py:983(_set_p1)
       50    0.000    0.000    0.001    0.000 ticker.py:1551(ge)
       25    0.000    0.000    0.001    0.000 font_manager.py:1007(set)
       20    0.000    0.000    0.001    0.000 collections.py:181(_get_bool)
      269    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       10    0.000    0.000    0.001    0.000 colorbar.py:456(set_label)
      217    0.000    0.000    0.001    0.000 enum.py:20(_is_descriptor)
       80    0.000    0.000    0.001    0.000 cbook.py:2698(_putmask)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:858(get_clip_path)
       20    0.000    0.000    0.001    0.000 _base.py:1361(get_data_ratio)
       11    0.001    0.000    0.001    0.000 function_base.py:4533(<listcomp>)
        9    0.000    0.000    0.001    0.000 abc.py:151(register)
     1229    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      602    0.001    0.000    0.001    0.000 backend_bases.py:1040(set_joinstyle)
      558    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       43    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       30    0.000    0.000    0.001    0.000 posixpath.py:367(abspath)
      440    0.001    0.000    0.001    0.000 cycler.py:138(keys)
       40    0.000    0.000    0.001    0.000 collections.py:699(_set_edgecolor)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       20    0.000    0.000    0.001    0.000 ticker.py:239(set_view_interval)
       80    0.000    0.000    0.001    0.000 fromnumeric.py:70(take)
      523    0.001    0.000    0.001    0.000 <string>:12(__new__)
      476    0.001    0.000    0.001    0.000 pyparsing.py:374(__iter__)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:1102(get_hatch_path)
       84    0.001    0.000    0.001    0.000 posixpath.py:73(join)
      166    0.001    0.000    0.001    0.000 fontconfig_pattern.py:144(_name)
      156    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       70    0.000    0.000    0.001    0.000 pyparsing.py:2682(__str__)
     2684    0.001    0.000    0.001    0.000 transforms.py:1709(get_affine)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:868(get_dashes)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:982(set_clip_path)
       12    0.000    0.000    0.001    0.000 pyparsing.py:1337(__sub__)
        1    0.000    0.000    0.001    0.001 widgets.py:10(<module>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       20    0.000    0.000    0.001    0.000 ticker.py:212(set_view_interval)
      117    0.001    0.000    0.001    0.000 sre_parse.py:223(__init__)
      275    0.001    0.000    0.001    0.000 {built-in method numpy.core.umath.seterrobj}
       20    0.000    0.000    0.001    0.000 collections.py:528(set_linestyle)
        1    0.000    0.000    0.001    0.001 artist.py:1063(ArtistInspector)
      200    0.001    0.000    0.001    0.000 pyparsing.py:495(__iadd__)
      128    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1163    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       20    0.000    0.000    0.001    0.000 collections.py:500(set_linewidth)
      454    0.001    0.000    0.001    0.000 fontconfig_pattern.py:151(<listcomp>)
     3499    0.001    0.000    0.001    0.000 inspect.py:2448(name)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      179    0.001    0.000    0.001    0.000 sre_parse.py:342(_escape)
      110    0.001    0.000    0.001    0.000 cbook.py:349(__init__)
        4    0.000    0.000    0.001    0.000 tempfile.py:249(_mkstemp_inner)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:855(<listcomp>)
       60    0.000    0.000    0.001    0.000 cbook.py:1761(get_siblings)
       60    0.001    0.000    0.001    0.000 _base.py:2817(get_xlim)
       24    0.000    0.000    0.001    0.000 fromnumeric.py:1657(clip)
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
      722    0.001    0.000    0.001    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
     1044    0.001    0.000    0.001    0.000 path.py:280(should_simplify)
      592    0.001    0.000    0.001    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        6    0.000    0.000    0.001    0.000 patches.py:1774(_pprint_table)
       40    0.000    0.000    0.001    0.000 collections.py:579(_bcast_lwls)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
       58    0.001    0.000    0.001    0.000 sre_compile.py:378(<listcomp>)
       70    0.000    0.000    0.001    0.000 mathtext.py:1488(get_kerning)
      160    0.000    0.000    0.001    0.000 artist.py:534(get_snap)
       40    0.000    0.000    0.001    0.000 transforms.py:349(_get_ymax)
      338    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:355(__init__)
       70    0.000    0.000    0.001    0.000 cm.py:145(get_cmap)
     1064    0.001    0.000    0.001    0.000 artist.py:624(get_path_effects)
      269    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      605    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.001    0.001 errors.py:9(<module>)
      140    0.000    0.000    0.001    0.000 cbook.py:1028(__call__)
      310    0.001    0.000    0.001    0.000 core.py:3540(_get_data)
        1    0.000    0.000    0.001    0.001 version.py:267(LooseVersion)
      140    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.min_scalar_type}
     1686    0.001    0.000    0.001    0.000 backend_bases.py:224(open_group)
      366    0.000    0.000    0.001    0.000 figure.py:234(_update_this)
        1    0.000    0.000    0.001    0.001 path.py:13(<module>)
      128    0.000    0.000    0.001    0.000 colors.py:591(__init__)
      130    0.001    0.000    0.001    0.000 core.py:1308(make_mask_descr)
      181    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       84    0.000    0.000    0.001    0.000 pyparsing.py:2011(__str__)
     1104    0.001    0.000    0.001    0.000 artist.py:520(get_gid)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      150    0.000    0.000    0.001    0.000 sre_compile.py:388(_simple)
      462    0.001    0.000    0.001    0.000 {built-in method math.sin}
       34    0.000    0.000    0.001    0.000 posixpath.py:329(normpath)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       20    0.000    0.000    0.001    0.000 _axes.py:5144(_pcolorargs)
      132    0.001    0.000    0.001    0.000 numeric.py:3085(__init__)
      141    0.000    0.000    0.001    0.000 patches.py:473(set_joinstyle)
       20    0.000    0.000    0.001    0.000 ticker.py:1805(view_limits)
     1686    0.001    0.000    0.001    0.000 backend_bases.py:232(close_group)
       20    0.000    0.000    0.001    0.000 transforms.py:2613(__init__)
        1    0.000    0.000    0.001    0.001 _base.py:421(_AxesBase)
      120    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.generic' objects}
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:771(find_spec)
      462    0.001    0.000    0.001    0.000 backend_agg.py:265(get_canvas_width_height)
       20    0.000    0.000    0.001    0.000 ticker.py:242(set_data_interval)
       51    0.000    0.000    0.001    0.000 figure.py:78(as_list)
       60    0.000    0.000    0.001    0.000 _base.py:3093(get_ylim)
     1044    0.001    0.000    0.001    0.000 path.py:262(simplify_threshold)
       80    0.000    0.000    0.001    0.000 linalg.py:106(_makearray)
       20    0.000    0.000    0.001    0.000 figure.py:843(fixlist)
       17    0.000    0.000    0.001    0.000 numeric.py:150(ones)
       11    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
     1104    0.001    0.000    0.001    0.000 backend_bases.py:1122(get_hatch_linewidth)
     1123    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       41    0.000    0.000    0.001    0.000 figure.py:726(get_size_inches)
      290    0.001    0.000    0.001    0.000 rcsetup.py:122(validate_bool)
        1    0.000    0.000    0.001    0.001 triinterpolate.py:3(<module>)
        1    0.000    0.000    0.001    0.001 legend_handler.py:26(<module>)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:927(get_snap)
       50    0.000    0.000    0.001    0.000 fromnumeric.py:1471(nonzero)
      924    0.001    0.000    0.001    0.000 {built-in method math.radians}
       20    0.000    0.000    0.001    0.000 ticker.py:221(set_data_interval)
       43    0.000    0.000    0.001    0.000 pyparsing.py:1725(__init__)
       20    0.000    0.000    0.001    0.000 _base.py:3711(set_cursor_props)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:1110(get_hatch_color)
       25    0.000    0.000    0.001    0.000 fontconfig_pattern.py:183(<listcomp>)
       20    0.000    0.000    0.001    0.000 figure.py:767(set_edgecolor)
      602    0.001    0.000    0.001    0.000 backend_bases.py:967(set_capstyle)
        1    0.000    0.000    0.001    0.001 pyparsing.py:2026(__init__)
      472    0.001    0.000    0.001    0.000 artist.py:723(get_alpha)
      200    0.001    0.000    0.001    0.000 {method 'item' of 'numpy.generic' objects}
       38    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
      233    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
       31    0.000    0.000    0.001    0.000 figure.py:406(_get_axes)
       40    0.000    0.000    0.001    0.000 gridspec.py:139(__getitem__)
     1015    0.001    0.000    0.001    0.000 markers.py:245(get_marker)
      140    0.001    0.000    0.001    0.000 cbook.py:1685(clean)
       50    0.001    0.000    0.001    0.000 figure.py:96(_entry_from_axes)
        1    0.000    0.000    0.001    0.001 _color_data.py:1(<module>)
       40    0.000    0.000    0.001    0.000 artist.py:900(set_label)
     1015    0.001    0.000    0.001    0.000 markers.py:220(get_fillstyle)
        2    0.000    0.000    0.001    0.000 rcsetup.py:86(<listcomp>)
       84    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
       27    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
      114    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       86    0.001    0.000    0.001    0.000 docstring.py:44(__call__)
       15    0.000    0.000    0.001    0.000 cycler.py:468(cycler)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
       28    0.000    0.000    0.001    0.000 rcsetup.py:802(<genexpr>)
     1104    0.001    0.000    0.001    0.000 backend_bases.py:827(restore)
      426    0.001    0.000    0.001    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
     1498    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1270    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
       20    0.000    0.000    0.001    0.000 backend_bases.py:1815(draw_event)
       26    0.001    0.000    0.001    0.000 pyparsing.py:3225(postParse)
      442    0.001    0.000    0.001    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
       80    0.000    0.000    0.001    0.000 linalg.py:209(_assertNdSquareness)
     1174    0.001    0.000    0.001    0.000 path.py:254(simplify_threshold)
       18    0.000    0.000    0.001    0.000 tokenize.py:355(detect_encoding)
     1746    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      318    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:297(__enter__)
       30    0.000    0.000    0.001    0.000 _base.py:2772(get_xbound)
       40    0.000    0.000    0.001    0.000 artist.py:185(have_units)
      405    0.000    0.000    0.001    0.000 artist.py:1193(aliased_name)
        1    0.000    0.000    0.001    0.001 dates.py:437(DateFormatter)
       24    0.001    0.000    0.001    0.000 {method 'clip' of 'numpy.ndarray' objects}
      442    0.001    0.000    0.001    0.000 transforms.py:2799(interval_contains)
       36    0.000    0.000    0.001    0.000 os.py:664(__getitem__)
       20    0.000    0.000    0.001    0.000 collections.py:727(set_edgecolor)
      329    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:698(find_spec)
       20    0.000    0.000    0.001    0.000 cbook.py:1393(remove)
       40    0.000    0.000    0.001    0.000 figure.py:86(get)
      698    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1104    0.001    0.000    0.001    0.000 backend_bases.py:1128(get_sketch_params)
       62    0.000    0.000    0.001    0.000 rcsetup.py:80(<listcomp>)
      937    0.001    0.000    0.001    0.000 {method 'end' of '_sre.SRE_Match' objects}
      150    0.000    0.000    0.001    0.000 cbook.py:663(__init__)
       15    0.000    0.000    0.001    0.000 cycler.py:529(_cycler)
        6    0.000    0.000    0.001    0.000 pyparsing.py:909(setResultsName)
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
       19    0.000    0.000    0.001    0.000 nosetester.py:518(_numpy_tester)
     2316    0.001    0.000    0.001    0.000 inspect.py:2460(kind)
     1033    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       40    0.000    0.000    0.001    0.000 transforms.py:2049(transform)
       10    0.000    0.000    0.001    0.000 pyplot.py:345(sci)
        1    0.000    0.000    0.001    0.001 path.py:1032(_define_deprecated_functions)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:6(<module>)
      200    0.000    0.000    0.001    0.000 core.py:1344(getmask)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
       23    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
      442    0.001    0.000    0.001    0.000 lines.py:613(get_markevery)
       10    0.000    0.000    0.001    0.000 text.py:1114(set_fontsize)
       40    0.000    0.000    0.001    0.000 _base.py:2741(set_axis_on)
       16    0.000    0.000    0.001    0.000 enum.py:114(__prepare__)
        1    0.000    0.000    0.001    0.001 gzip.py:4(<module>)
       10    0.000    0.000    0.001    0.000 axis.py:2125(set_label_position)
        9    0.000    0.000    0.001    0.000 __init__.py:540(_get_home)
        1    0.000    0.000    0.001    0.001 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.001    0.001 polar.py:1(<module>)
      550    0.001    0.000    0.001    0.000 {built-in method numpy.core.umath.geterrobj}
       10    0.000    0.000    0.001    0.000 core.py:1676(mask_or)
       80    0.000    0.000    0.001    0.000 transforms.py:2382(transform_path_non_affine)
        2    0.000    0.000    0.001    0.000 posixpath.py:382(realpath)
       10    0.000    0.000    0.001    0.000 axis.py:2192(set_offset_position)
       10    0.000    0.000    0.001    0.000 text.py:1103(set_size)
      142    0.000    0.000    0.001    0.000 patches.py:277(set_antialiased)
       55    0.000    0.000    0.001    0.000 cbook.py:371(add_destroy_callback)
       10    0.000    0.000    0.001    0.000 core.py:3039(view)
       70    0.000    0.000    0.001    0.000 mathtext.py:176(_update_bbox)
      234    0.000    0.000    0.001    0.000 pyparsing.py:2687(<genexpr>)
       80    0.000    0.000    0.001    0.000 axis.py:1340(get_minor_ticks)
       15    0.000    0.000    0.001    0.000 cycler.py:191(_from_iter)
       20    0.000    0.000    0.000    0.000 cm.py:311(set_cmap)
      957    0.000    0.000    0.000    0.000 font_manager.py:1140(score_style)
      151    0.000    0.000    0.000    0.000 {built-in method math.log10}
      168    0.000    0.000    0.000    0.000 colors.py:414(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:776(Bbox)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      539    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 axis.py:717(limit_range_for_scale)
